id,oldPercent,socialIncrease,unemployment
Taipei,10.1,-1.21,3.9
Taipei City,14.08,1.47,4
Taoyuan,9.31,4.29,4
Taichung City,9.79,2.93,3.9
Tainan City,12.62,0.02,4.1
Kaohsiung City,11.95,-1.12,3.9
Ilan,13.83,1.24,3.9
Hsinchu,11.22,9.41,3.9
Miaoli,13.9,0.69,4.1
Changhwa,13.21,-5.26,3.9
Nantou,14.71,-3.33,4
Yunlin,16.1,-0.93,3.9
Chiayi,16.84,-3.45,3.9
Pingtung,13.96,-1.93,3.9
Taitung,14.02,1.83,3.9
Hualien,13.56,0.53,3.8
Penghu,14.46,13.12,3.9
Keelung City,12.55,-2.76,4
Hsinchu,10.12,1.26,3.9
Chiayi,12.31,-0.74,3.7
