Country or area;Sex ratio
Aruba;111
Afghanistan;93
Angola;102
Anguilla;103
Albania;100
Aland Islands;NA
Andorra;96
United Arab Emirates;44
Argentina;104
Armenia;115
American Samoa;96
Antarctica;NA
Ashmore and Cartier Islands;NA
French Southern and Antarctic Lands;NA
Antigua and Barbuda;113
Australia;101
Austria;105
Azerbaijan;102
Burundi;104
Belgium;104
Benin;103
Burkina Faso;101
Bangladesh;98
Bulgaria;107
Bahrain;60
Bahamas;104
Bosnia and Herzegovina;108
Bajo Nuevo Bank (Petrel Islands);NA
Saint-Barthélemy;NA
Belarus;115
Belize;103
Bermuda;110
Bolivia;100
Brazil;103
Barbados;102
Brunei Darussalam;98
Bhutan;89
Botswana;98
Central African Republic;103
Canada;101
Switzerland;103
Chile;102
China;93
Côte d'Ivoire;97
Clipperton Island;NA
Cameroon;100
Cyprus U.N. Buffer Zone;NA
Democratic Republic of the Congo;101
Republic of Congo;100
Cook Islands;97
Colombia;103
Comoros;98
Cape Verde;101
Costa Rica;97
Coral Sea Islands;NA
Cuba;99
Curaçao;NA
Cayman Islands;102
Northern Cyprus;NA
Cyprus;96
Czech Republic;104
Germany;104
Djibouti;100
Dominica;96
Denmark;102
Dominican Republic;99
Algeria;98
Ecuador;100
Egypt;99
Eritrea;103
Dhekelia;NA
Spain;102
Estonia;117
Ethiopia;101
Finland;104
Fiji;96
Falkland Islands;88
France;105
Faeroe Islands;93
Federated States of Micronesia;96
Gabon;99
United Kingdom;103
Georgia;112
Guernsey;NA
Ghana;97
Gibraltar;101
Guinea;98
The Gambia;103
Guinea-Bissau;102
Equatorial Guinea;95
Greece;102
Grenada;100
Greenland;89
Guatemala;105
Guam;97
Guyana;99
Hong Kong;111
Heard I. and McDonald Islands;NA
Honduras;100
Croatia;108
Haiti;102
Hungary;111
Indonesia;101
Isle of Man;101
India;94
Indian Ocean Territories;NA
British Indian Ocean Territory;NA
Ireland;100
Iran;97
Iraq;99
Iceland;98
Israel;102
Italy;104
Jamaica;103
Jersey;NA
Jordan;95
Japan;105
Baikonur Cosmodrome;NA
Siachen Glacier;NA
Kazakhstan;108
Kenya;100
Kyrgyzstan;103
Cambodia;104
Kiribati;101
Saint Kitts and Nevis;101
Republic of Korea;101
Kosovo;NA
Kuwait;68
Lao PDR;100
Lebanon;105
Liberia;99
Libya;100
Saint Lucia;106
Liechtenstein;102
Sri Lanka;103
Lesotho;103
Lithuania;115
Luxembourg;101
Latvia;117
Macao;108
Saint-Martin;NA
Morocco;104
Monaco;106
Moldova;111
Madagascar;101
Maldives;99
Mexico;103
Marshall Islands;95
Macedonia;100
Mali;100
Malta;102
Myanmar;103
Montenegro;104
Mongolia;103
Northern Mariana Islands;98
Mozambique;105
Mauritania;99
Montserrat;86
Mauritius;103
Malawi;100
Malaysia;97
Namibia;101
New Caledonia;100
Niger;99
Norfolk Island;NA
Nigeria;97
Nicaragua;102
Niue;104
Netherlands;101
Norway;100
Nepal;102
Nauru;97
New Zealand;103
Oman;69
Pakistan;97
Panama;99
Pitcairn Islands;NA
Peru;100
Spratly Islands;NA
Philippines;99
Palau;87
Papua New Guinea;96
Poland;107
Puerto Rico;108
Dem. Rep. Korea;104
Portugal;106
Paraguay;98
Palestine;97
French Polynesia;95
Qatar;32
Romania;106
Russian Federation;116
Rwanda;104
Western Sahara;89
Saudi Arabia;81
Scarborough Reef;NA
Sudan;98
South Sudan;NA
Senegal;102
Serranilla Bank;NA
Singapore;98
South Georgia and South Sandwich Islands;NA
Saint Helena;94
Solomon Islands;93
Sierra Leone;104
El Salvador;111
San Marino;106
Somaliland;NA
Somalia;102
Saint Pierre and Miquelon;102
Serbia;102
São Tomé and Principe;102
Suriname;100
Slovakia;106
Slovenia;104
Sweden;101
Swaziland;103
Sint Maarten;NA
Seychelles;103
Syria;98
Turks and Caicos Islands;101
Chad;101
Togo;102
Thailand;104
Tajikistan;104
Turkmenistan;103
Timor-Leste;96
Tonga;100
Trinidad and Tobago;107
Tunisia;100
Turkey;101
Tuvalu;101
Taiwan;NA
Tanzania;100
Uganda;100
Ukraine;117
United States Minor Outlying Islands;NA
Uruguay;107
United States;102
US Naval Base Guantanamo Bay;NA
Uzbekistan;101
Vatican;46
Saint Vincent and the Grenadines;98
Venezuela;99
British Virgin Islands;94
United States Virgin Islands;111
Vietnam;102
Vanuatu;96
Wallis and Futuna Islands;102
Akrotiri;NA
Samoa;94
Yemen;99
South Africa;102
Zambia;99
Zimbabwe;102
